report_year,agency_code,agency_jurisdiction,population,violent_crimes,homicides,rapes,assaults,robberies,crimes_percapita,homicides_percapita,rapes_percapita,assaults_percapita,robberies_percapita,state
2014,WIMPD00,"Milwaukee, WI",600374.0,8914.0,86.0,396.0,4877.0,3555.0,1484.74,14.32,65.96,812.33,592.13,WI
2014,MN02711,"Minneapolis, MN",404461.0,4093.0,31.0,389.0,1802.0,1871.0,1011.96,7.66,96.18,445.53,462.59,MN
2014,MD01604,"Montgomery County, MD",1009176.0,1648.0,17.0,119.0,892.0,620.0,163.3,1.68,11.79,88.39,61.44,MD
2014,TN01901,"Nashville, TN",647689.0,7289.0,42.0,491.0,5227.0,1529.0,1125.39,6.48,75.81,807.02,236.07,TN
2014,NY02900,"Nassau County, NY",1061175.0,1329.0,6.0,103.0,670.0,550.0,125.24,0.57,9.71,63.14,51.83,NY
2014,LANPD00,"New Orleans, LA",387113.0,3770.0,150.0,244.0,1906.0,1470.0,973.88,38.75,63.03,492.36,379.73,LA
2014,NY03030,"New York City, NY",8473938.0,50564.0,333.0,2190.0,31460.0,16581.0,596.7,3.93,25.84,371.26,195.67,NY
2014,NJNPD00,"Newark, NJ",279110.0,3009.0,94.0,49.0,944.0,1922.0,1078.07,33.68,17.56,338.22,688.62,NJ
2014,CA00109,"Oakland, CA",409994.0,6910.0,80.0,209.0,3140.0,3481.0,1685.39,19.51,50.98,765.86,849.04,CA
2014,OK05506,"Oklahoma City, OK",617975.0,4782.0,45.0,434.0,3177.0,1126.0,773.82,7.28,70.23,514.1,182.21,OK
2014,NB02802,"Omaha, NE",438465.0,2458.0,32.0,180.0,1523.0,723.0,560.59,7.3,41.05,347.35,164.89,NE
2014,FL04804,"Orlando, FL",259675.0,2340.0,15.0,167.0,1538.0,620.0,901.13,5.78,64.31,592.28,238.76,FL
2014,PAPEP00,"Philadelphia, PA",1559062.0,15925.0,248.0,1207.0,7500.0,6970.0,1021.45,15.91,77.42,481.06,447.06,PA
2014,AZ00723,"Phoenix, AZ",1529852.0,8749.0,114.0,1006.0,4677.0,2952.0,571.89,7.45,65.76,305.72,192.96,AZ
2014,PAPPD00,"Pittsburgh, PA",307613.0,2455.0,69.0,91.0,1309.0,986.0,798.08,22.43,29.58,425.53,320.53,PA
2014,OR02602,"Portland, OR",615672.0,2911.0,26.0,262.0,1776.0,847.0,472.82,4.22,42.56,288.47,137.57,OR
2014,MD01721,"Prince George's County, MD",685191.0,3161.0,39.0,171.0,1490.0,1461.0,461.33,5.69,24.96,217.46,213.23,MD
2014,NC09201,"Raleigh, NC",438363.0,1730.0,16.0,82.0,953.0,679.0,394.65,3.65,18.71,217.4,154.89,NC
2014,CA03404,"Sacramento, CA",482767.0,2968.0,28.0,78.0,1862.0,1000.0,614.79,5.8,16.16,385.69,207.14,CA
2014,UT01803,"Salt Lake City, UT",192368.0,1452.0,7.0,223.0,773.0,449.0,754.8,3.64,115.92,401.83,233.41,UT
2014,TXSPD00,"San Antonio, TX",1428465.0,7704.0,103.0,1077.0,4747.0,1777.0,539.32,7.21,75.4,332.31,124.4,TX
2014,CA03711,"San Diego, CA",1368690.0,5214.0,32.0,371.0,3493.0,1318.0,380.95,2.34,27.11,255.21,96.3,CA
2014,CA03801,"San Francisco, CA",850294.0,6761.0,45.0,355.0,3137.0,3224.0,795.14,5.29,41.75,368.93,379.16,CA
2014,CA04313,"San Jose, CA",1009679.0,3242.0,32.0,306.0,1832.0,1072.0,321.09,3.17,30.31,181.44,106.17,CA
2014,WASPD00,"Seattle, WA",663410.0,4005.0,26.0,154.0,2258.0,1567.0,603.7,3.92,23.21,340.36,236.2,WA
2014,MOSPD00,"St. Louis, MO",318574.0,5348.0,159.0,279.0,3348.0,1562.0,1678.73,49.91,87.58,1050.93,490.31,MO
2014,NY05101,"Suffolk County, NY",1341453.0,1576.0,29.0,111.0,869.0,567.0,117.48,2.16,8.27,64.78,42.27,NY
2014,FL02902,"Tampa, FL",357124.0,2080.0,28.0,62.0,1476.0,514.0,582.43,7.84,17.36,413.3,143.93,FL
2014,AZ01003,"Tucson, AZ",527328.0,3443.0,35.0,399.0,2021.0,988.0,652.91,6.64,75.66,383.25,187.36,AZ
2014,OK07205,"Tulsa, OK",399556.0,3217.0,46.0,313.0,1938.0,920.0,805.14,11.51,78.34,485.04,230.26,OK
2014,VA12800,"Virginia Beach, VA",451102.0,667.0,17.0,115.0,285.0,250.0,147.86,3.77,25.49,63.18,55.42,VA
2014,DCMPD00,"Washington, DC",658893.0,7810.0,105.0,470.0,4004.0,3231.0,1185.32,15.94,71.33,607.69,490.37,DC
2014,KS08703,"Wichita, KS",387493.0,2939.0,21.0,243.0,2179.0,496.0,758.47,5.42,62.71,562.33,128.0,KS
2015,NM00101,"Albuquerque, NM",559721.0,5406.0,43.0,404.0,3273.0,1686.0,965.84,7.68,72.18,584.76,301.22,NM
2015,TX22001,"Arlington, TX",387565.0,1946.0,8.0,208.0,1201.0,529.0,502.11,2.06,53.67,309.88,136.49,TX
2015,GAAPD00,"Atlanta, GA",464710.0,5203.0,94.0,170.0,2944.0,1995.0,1119.62,20.23,36.58,633.51,429.3,GA
2015,CO00101,"Aurora, CO",360237.0,1660.0,24.0,352.0,837.0,447.0,460.81,6.66,97.71,232.35,124.08,CO
2015,TX22701,"Austin, TX",938728.0,3497.0,23.0,487.0,2058.0,929.0,372.53,2.45,51.88,219.23,98.96,TX
2015,MDBPD00,"Baltimore, MD",621252.0,9542.0,344.0,287.0,4598.0,4313.0,1535.93,55.37,46.2,740.12,694.24,MD
2015,MA01301,"Boston, MA",665258.0,4702.0,38.0,240.0,2873.0,1551.0,706.79,5.71,36.08,431.86,233.14,MA
2015,NY01401,"Buffalo, NY",258096.0,2887.0,41.0,173.0,1640.0,1033.0,1118.58,15.89,67.03,635.42,400.24,NY
2015,NC06001,"Charlotte, NC",877817.0,5948.0,61.0,216.0,3724.0,1947.0,677.59,6.95,24.61,424.23,221.8,NC
2015,ILCPD00,"Chicago, IL",2728695.0,24663.0,478.0,1432.0,13104.0,9649.0,903.84,17.52,52.48,480.23,353.61,IL
2015,OHCIP00,"Cincinnati, OH",298478.0,2761.0,66.0,236.0,1196.0,1263.0,925.03,22.11,79.07,400.7,423.15,OH
2015,OHCOP00,"Columbus, OH",847745.0,4631.0,77.0,806.0,1508.0,2240.0,546.27,9.08,95.08,177.88,264.23,OH
2015,TXDPD00,"Dallas, TX",1301977.0,9038.0,136.0,782.0,3943.0,4177.0,694.18,10.45,60.06,302.85,320.82,TX
2015,CODPD00,"Denver, CO",682418.0,4599.0,53.0,548.0,2768.0,1230.0,673.93,7.77,80.3,405.62,180.24,CO
2015,MI82349,"Detroit, MI",673225.0,11846.0,295.0,530.0,7564.0,3457.0,1759.59,43.82,78.73,1123.55,513.5,MI
2015,TX07102,"El Paso, TX",686077.0,2515.0,17.0,322.0,1766.0,410.0,366.58,2.48,46.93,257.41,59.76,TX
2015,VA02901,"Fairfax County, VA",1101700.0,974.0,14.0,130.0,387.0,443.0,88.41,1.27,11.8,35.13,40.21,VA
2015,TX22012,"Fort Worth, TX",829731.0,4359.0,56.0,516.0,2806.0,981.0,525.35,6.75,62.19,338.18,118.23,TX
2015,CA01005,"Fresno, CA",520837.0,2871.0,39.0,167.0,1653.0,1012.0,551.23,7.49,32.06,317.37,194.3,CA
2015,HI00200,"Honolulu, HI",999307.0,2437.0,15.0,318.0,1208.0,896.0,243.87,1.5,31.82,120.88,89.66,HI
2015,TXHPD00,"Houston, TX",2275221.0,21994.0,303.0,986.0,10427.0,10278.0,966.68,13.32,43.34,458.29,451.74,TX
2015,INIPD00,"Indianapolis, IN",863675.0,11124.0,148.0,677.0,6497.0,3802.0,1287.98,17.14,78.39,752.25,440.21,IN
2015,FL01602,"Jacksonville, FL",867258.0,5622.0,97.0,471.0,3656.0,1398.0,648.25,11.18,54.31,421.56,161.2,FL
2015,MOKPD00,"Kansas City, MO",473373.0,6709.0,109.0,366.0,4531.0,1703.0,1417.28,23.03,77.32,957.17,359.76,MO
2015,NV00201,"Las Vegas, NV",1562134.0,14383.0,127.0,1107.0,8139.0,5010.0,920.73,8.13,70.86,521.02,320.72,NV
2015,CA01941,"Long Beach, CA",476318.0,2766.0,36.0,177.0,1499.0,1054.0,580.7,7.56,37.16,314.71,221.28,CA
2015,CA01900,"Los Angeles County, CA",1111939.0,5173.0,98.0,304.0,3559.0,1212.0,465.22,8.81,27.34,320.07,109.0,CA
2015,CA01942,"Los Angeles, CA",3962726.0,25156.0,282.0,2209.0,13713.0,8952.0,634.82,7.12,55.74,346.05,225.91,CA
2015,KY05680,"Louisville, KY",680550.0,4300.0,81.0,205.0,2469.0,1545.0,631.84,11.9,30.12,362.79,227.02,KY
2015,TNMPD00,"Memphis, TN",657936.0,11449.0,135.0,530.0,7653.0,3131.0,1740.14,20.52,80.55,1163.18,475.88,TN
2015,AZ00717,"Mesa, AZ",471034.0,1972.0,16.0,241.0,1307.0,408.0,418.65,3.4,51.16,277.47,86.62,AZ
